"",8.000
54421.0000,0.0000E+00
54422.0000,-9.5734E+01
54423.0000,0.0000E+00
54424.0000,0.0000E+00
54425.0000,0.0000E+00
54426.0000,0.0000E+00
54427.0000,0.0000E+00
54428.0000,0.0000E+00
54429.0000,0.0000E+00
54430.0000,0.0000E+00
54431.0000,0.0000E+00
54432.0000,0.0000E+00
54433.0000,0.0000E+00
54434.0000,0.0000E+00
54435.0000,0.0000E+00
54436.0000,0.0000E+00
54437.0000,0.0000E+00
54438.0000,0.0000E+00
54439.0000,0.0000E+00
54440.0000,0.0000E+00
54441.0000,0.0000E+00
54442.0000,0.0000E+00
54443.0000,0.0000E+00
54444.0000,0.0000E+00
54445.0000,0.0000E+00
54446.0000,0.0000E+00
54447.0000,0.0000E+00
54448.0000,0.0000E+00
54449.0000,0.0000E+00
54450.0000,0.0000E+00
54451.0000,0.0000E+00
54452.0000,0.0000E+00
54453.0000,0.0000E+00
54454.0000,0.0000E+00
54455.0000,0.0000E+00
54456.0000,0.0000E+00
54457.0000,0.0000E+00
54458.0000,0.0000E+00
54459.0000,0.0000E+00
54460.0000,0.0000E+00
54461.0000,0.0000E+00
54462.0000,0.0000E+00
54463.0000,0.0000E+00
54464.0000,0.0000E+00
54465.0000,0.0000E+00
54466.0000,0.0000E+00
54467.0000,0.0000E+00
54468.0000,0.0000E+00
54469.0000,0.0000E+00
54470.0000,0.0000E+00
54471.0000,0.0000E+00
54472.0000,0.0000E+00
54473.0000,0.0000E+00
54474.0000,0.0000E+00
54475.0000,0.0000E+00
54476.0000,0.0000E+00
54477.0000,0.0000E+00
54478.0000,0.0000E+00
54479.0000,0.0000E+00
54480.0000,0.0000E+00
54481.0000,0.0000E+00
54482.0000,0.0000E+00
54483.0000,0.0000E+00
54484.0000,0.0000E+00
54485.0000,0.0000E+00
54486.0000,0.0000E+00
54487.0000,0.0000E+00
54488.0000,0.0000E+00
54489.0000,0.0000E+00
54490.0000,0.0000E+00
54491.0000,0.0000E+00
54492.0000,0.0000E+00
54493.0000,0.0000E+00
54494.0000,0.0000E+00
54495.0000,0.0000E+00
54496.0000,0.0000E+00
54497.0000,1.7860E+00
54498.0000,1.4504E+00
54499.0000,1.2274E+01
54500.0000,0.0000E+00
54501.0000,0.0000E+00
54502.0000,0.0000E+00
54503.0000,0.0000E+00
54504.0000,0.0000E+00
54505.0000,0.0000E+00
54506.0000,0.0000E+00
54507.0000,0.0000E+00
54508.0000,0.0000E+00
54509.0000,0.0000E+00
54510.0000,0.0000E+00
54511.0000,2.4969E+00
54512.0000,1.9973E+00
54513.0000,3.2022E+00
54514.0000,8.1064E+00
54515.0000,2.4737E+00
54516.0000,2.0454E+00
54517.0000,1.5471E+01
54518.0000,6.4590E+00
54519.0000,1.4122E+01
54520.0000,7.7856E+00
54521.0000,6.2714E+00
54522.0000,1.1212E+01
54523.0000,1.4136E+01
54524.0000,8.8828E+00
54525.0000,1.5519E+01
54526.0000,1.4848E+01
54527.0000,3.3475E+01
54528.0000,5.0536E+00
54529.0000,0.0000E+00
54530.0000,0.0000E+00
54531.0000,0.0000E+00
54532.0000,1.7569E+00
54533.0000,1.0443E+00
54534.0000,7.8338E+00
54535.0000,9.7885E+00
54536.0000,1.3733E+01
54537.0000,2.0524E+01
54538.0000,8.2998E+00
54539.0000,3.6181E+01
54540.0000,2.2648E+01
54541.0000,1.7838E+01
54542.0000,6.9890E+00
54543.0000,6.3703E+00
54544.0000,7.9408E+00
54545.0000,6.1123E+00
54546.0000,8.9798E+00
54547.0000,2.2170E+01
54548.0000,1.7487E+01
54549.0000,1.1159E+01
54550.0000,-6.4736E+00
54551.0000,-1.0526E+01
54552.0000,-4.6959E+00
54553.0000,-8.8641E+00
54554.0000,3.3092E+00
54555.0000,-1.3524E+00
54556.0000,-1.6574E-01
54557.0000,-4.9882E+00
54558.0000,5.7517E-01
54559.0000,1.7419E+00
54560.0000,-9.1575E-01
54561.0000,-3.1738E-01
54562.0000,-6.7643E+00
54563.0000,-1.7781E+01
54564.0000,-2.9716E+01
54565.0000,-3.7708E+01
54566.0000,-2.7346E+01
54567.0000,-2.8269E+01
54568.0000,-2.5698E+01
54569.0000,-2.5787E+01
54570.0000,-2.1561E+01
54571.0000,-6.6532E+00
54572.0000,-8.1124E+00
54573.0000,-1.3092E+01
54574.0000,-1.7647E+01
54575.0000,-1.3751E+01
54576.0000,-1.2274E+01
54577.0000,-1.5146E+01
54578.0000,-2.7117E+01
54579.0000,-2.8942E+01
54580.0000,-2.1581E+01
54581.0000,-1.8312E+01
54582.0000,-2.8721E+01
54583.0000,-4.1338E+01
54584.0000,-2.7700E+01
54585.0000,-2.9673E+01
54586.0000,-2.0683E+01
54587.0000,-9.4743E+00
54588.0000,-7.8044E+00
54589.0000,-6.1175E+01
54590.0000,-5.4599E+01
54591.0000,-2.8375E+01
