"",8.000
54421.0000,0.0000E+00
54422.0000,-5.2635E+01
54423.0000,0.0000E+00
54424.0000,0.0000E+00
54425.0000,0.0000E+00
54426.0000,0.0000E+00
54427.0000,0.0000E+00
54428.0000,0.0000E+00
54429.0000,0.0000E+00
54430.0000,0.0000E+00
54431.0000,0.0000E+00
54432.0000,0.0000E+00
54433.0000,0.0000E+00
54434.0000,0.0000E+00
54435.0000,0.0000E+00
54436.0000,0.0000E+00
54437.0000,0.0000E+00
54438.0000,0.0000E+00
54439.0000,0.0000E+00
54440.0000,0.0000E+00
54441.0000,0.0000E+00
54442.0000,0.0000E+00
54443.0000,0.0000E+00
54444.0000,0.0000E+00
54445.0000,0.0000E+00
54446.0000,0.0000E+00
54447.0000,0.0000E+00
54448.0000,0.0000E+00
54449.0000,0.0000E+00
54450.0000,0.0000E+00
54451.0000,0.0000E+00
54452.0000,0.0000E+00
54453.0000,0.0000E+00
54454.0000,0.0000E+00
54455.0000,0.0000E+00
54456.0000,0.0000E+00
54457.0000,0.0000E+00
54458.0000,0.0000E+00
54459.0000,0.0000E+00
54460.0000,0.0000E+00
54461.0000,0.0000E+00
54462.0000,0.0000E+00
54463.0000,0.0000E+00
54464.0000,0.0000E+00
54465.0000,0.0000E+00
54466.0000,0.0000E+00
54467.0000,0.0000E+00
54468.0000,0.0000E+00
54469.0000,0.0000E+00
54470.0000,0.0000E+00
54471.0000,0.0000E+00
54472.0000,0.0000E+00
54473.0000,0.0000E+00
54474.0000,0.0000E+00
54475.0000,0.0000E+00
54476.0000,0.0000E+00
54477.0000,0.0000E+00
54478.0000,0.0000E+00
54479.0000,0.0000E+00
54480.0000,0.0000E+00
54481.0000,0.0000E+00
54482.0000,0.0000E+00
54483.0000,0.0000E+00
54484.0000,0.0000E+00
54485.0000,0.0000E+00
54486.0000,0.0000E+00
54487.0000,0.0000E+00
54488.0000,0.0000E+00
54489.0000,0.0000E+00
54490.0000,0.0000E+00
54491.0000,0.0000E+00
54492.0000,0.0000E+00
54493.0000,0.0000E+00
54494.0000,0.0000E+00
54495.0000,0.0000E+00
54496.0000,0.0000E+00
54497.0000,-7.4709E-01
54498.0000,-6.5327E-01
54499.0000,-1.1411E+00
54500.0000,0.0000E+00
54501.0000,0.0000E+00
54502.0000,0.0000E+00
54503.0000,0.0000E+00
54504.0000,0.0000E+00
54505.0000,0.0000E+00
54506.0000,0.0000E+00
54507.0000,0.0000E+00
54508.0000,0.0000E+00
54509.0000,0.0000E+00
54510.0000,0.0000E+00
54511.0000,-1.5988E-01
54512.0000,-3.4912E-01
54513.0000,-4.7371E-01
54514.0000,-7.3832E-01
54515.0000,-5.4126E-01
54516.0000,-1.4384E-01
54517.0000,5.3631E-01
54518.0000,1.4297E-01
54519.0000,-5.7506E-01
54520.0000,-6.8594E-01
54521.0000,-2.9953E-01
54522.0000,-8.1939E-01
54523.0000,-4.6784E-01
54524.0000,-4.0499E-01
54525.0000,-6.1717E-01
54526.0000,-2.4420E+00
54527.0000,-1.3007E+00
54528.0000,-2.7329E+00
54529.0000,0.0000E+00
54530.0000,0.0000E+00
54531.0000,0.0000E+00
54532.0000,-1.3634E+00
54533.0000,-2.0855E+00
54534.0000,-1.1612E+00
54535.0000,-2.4548E-01
54536.0000,2.7605E-01
54537.0000,8.4437E-01
54538.0000,4.2550E-01
54539.0000,2.1028E+00
54540.0000,7.5043E-01
54541.0000,-4.6434E-01
54542.0000,-1.1558E+00
54543.0000,-7.5103E-01
54544.0000,-2.6834E+00
54545.0000,-1.4060E+00
54546.0000,-8.2858E-01
54547.0000,-1.2752E+00
54548.0000,-8.5709E-01
54549.0000,-1.4265E+00
54550.0000,-1.8266E+01
54551.0000,-2.4135E+01
54552.0000,-2.0237E+01
54553.0000,-1.6562E+01
54554.0000,-2.8824E+00
54555.0000,-5.4703E+00
54556.0000,-2.5659E+00
54557.0000,-1.3721E+01
54558.0000,-1.7824E+01
54559.0000,-7.7565E+00
54560.0000,-1.2917E+01
54561.0000,-2.0609E+01
54562.0000,-4.5586E+01
54563.0000,-7.3080E+01
54564.0000,-6.5241E+01
54565.0000,-8.7402E+01
54566.0000,-5.6889E+01
54567.0000,-6.7761E+01
54568.0000,-6.5686E+01
54569.0000,-6.1211E+01
54570.0000,-6.0361E+01
54571.0000,-4.9941E+01
54572.0000,-6.2759E+01
54573.0000,-7.4546E+01
54574.0000,-9.0490E+01
54575.0000,-6.6145E+01
54576.0000,-6.8159E+01
54577.0000,-7.8411E+01
54578.0000,-6.7302E+01
54579.0000,-5.3910E+01
54580.0000,-4.1297E+01
54581.0000,-4.9633E+01
54582.0000,-4.9135E+01
54583.0000,-6.6881E+01
54584.0000,-5.9229E+01
54585.0000,-5.6102E+01
54586.0000,-6.2027E+01
54587.0000,-4.1500E+01
54588.0000,-4.9680E+01
54589.0000,-1.5866E+02
54590.0000,-1.1486E+02
54591.0000,-8.4408E+01
54592.0000,-5.4713E+01
54593.0000,-5.0536E+01
54594.0000,-5.2499E+01
54595.0000,-6.1813E+01
54596.0000,-7.9568E+01
54597.0000,-7.9867E+01
