"",8.000
54421.0000,0.0000E+00
54422.0000,4.8464E+00
54423.0000,6.2325E+00
54424.0000,5.6634E+00
54425.0000,4.4360E+00
54426.0000,2.2106E+00
54427.0000,1.9645E+00
54428.0000,2.4443E+00
54429.0000,2.3595E+00
54430.0000,2.4170E+00
54431.0000,2.1640E+00
54432.0000,1.4897E+00
54433.0000,1.4164E+00
54434.0000,1.4425E+00
54435.0000,1.7613E+00
54436.0000,1.2555E+00
54437.0000,1.2240E+00
54438.0000,1.3231E+00
54439.0000,2.1727E+00
54440.0000,1.2988E+00
54441.0000,1.1289E+00
54442.0000,1.8211E+00
54443.0000,1.3338E+00
54444.0000,1.7193E+00
54445.0000,3.0917E+00
54446.0000,2.3815E+00
54447.0000,2.0060E+00
54448.0000,3.4838E+00
54449.0000,1.7909E+00
54450.0000,1.7300E+00
54451.0000,1.4989E+00
54452.0000,4.4775E+00
54453.0000,2.0853E+00
54454.0000,1.2044E+00
54455.0000,3.2281E+00
54456.0000,1.4760E+00
54457.0000,1.6950E+00
54458.0000,5.2397E+00
54459.0000,5.0343E+00
54460.0000,4.0043E+00
54461.0000,5.8698E+00
54462.0000,5.3780E+00
54463.0000,6.1319E+00
54464.0000,6.5174E+00
54465.0000,5.0978E+00
54466.0000,2.6151E+00
54467.0000,1.8553E+00
54468.0000,2.5247E+00
54469.0000,2.7138E+00
54470.0000,2.9122E+00
54471.0000,1.4756E+00
54472.0000,5.2808E+00
54473.0000,3.5413E+00
54474.0000,4.5379E+00
54475.0000,6.2992E+00
54476.0000,2.5167E+00
54477.0000,1.6829E+00
54478.0000,1.1977E+00
54479.0000,3.4184E+00
54480.0000,4.4081E+00
54481.0000,5.8469E+00
54482.0000,5.6878E+00
54483.0000,5.8755E+00
54484.0000,3.7904E+00
54485.0000,6.1428E+00
54486.0000,5.9777E+00
54487.0000,6.3446E+00
54488.0000,5.9843E+00
54489.0000,6.3686E+00
54490.0000,5.8687E+00
54491.0000,5.3459E+00
54492.0000,6.7709E+00
54493.0000,6.5710E+00
54494.0000,7.0306E+00
54495.0000,6.1657E+00
54496.0000,5.1840E+00
54497.0000,5.2333E+00
54498.0000,3.1018E+00
54499.0000,6.5058E+00
54500.0000,1.8305E+01
54501.0000,7.5336E+00
54502.0000,6.8803E+00
54503.0000,6.4774E+00
54504.0000,8.7364E+00
54505.0000,6.5256E+00
54506.0000,8.5715E+00
54507.0000,8.3959E+00
54508.0000,7.5865E+00
54509.0000,6.3443E+00
54510.0000,1.1360E+00
54511.0000,5.1004E+00
54512.0000,5.9832E+00
54513.0000,7.6702E+00
54514.0000,8.1346E+00
54515.0000,2.5411E+01
54516.0000,1.3198E+01
54517.0000,1.0293E+01
54518.0000,2.2736E+01
54519.0000,4.2820E+01
54520.0000,4.4847E+01
54521.0000,4.7580E+01
54522.0000,5.0070E+01
54523.0000,5.2968E+01
54524.0000,5.2694E+01
54525.0000,4.8465E+01
54526.0000,5.9974E+01
54527.0000,5.0484E+01
54528.0000,6.2588E+01
54529.0000,2.6221E+01
54530.0000,2.1667E+01
54531.0000,2.4397E+01
54532.0000,2.7020E+01
54533.0000,2.6301E+01
